WAREHOUSE_ID,WAREHOUSE_TYPE,LON,LAT
W0207,FOOD,-100,38
W0208,FOOD,-83,36
W0209,FOOD,-94,40
W0210,FOOD,-92,36
W0211,FOOD,-88,33
W0212,FOOD,-98,36
W0213,FOOD,-98,39
W0214,FOOD,-92,33
W0215,FOOD,-80,32
W0216,FOOD,-92,32
W0217,FOOD,-85,32
W0218,FOOD,-80,40
W0219,FOOD,-100,37
W0220,FOOD,-98,31
W0221,FOOD,-93,32
W0222,FOOD,-82,38
W0223,FOOD,-98,39
W0224,FOOD,-96,32
W0225,FOOD,-79,37
W0226,FOOD,-85,40
W0227,FOOD,-96,39
W0228,FOOD,-79,35
W0229,FOOD,-96,38
W0230,FOOD,-100,38
W0231,FOOD,-94,40
W0232,FOOD,-98,33
W0233,FOOD,-88,37
W0234,FOOD,-96,33
W0235,FOOD,-96,32
W0236,FOOD,-89,39
W0237,FOOD,-89,36
W0238,FOOD,-101,31
W0239,FOOD,-79,35
W0240,FOOD,-84,38
W0241,FOOD,-96,38
W0242,FOOD,-88,38
W0243,FOOD,-85,39
W0244,FOOD,-95,40
W0245,FOOD,-97,40
W0246,FOOD,-79,34
W0247,FOOD,-101,35
W0248,FOOD,-94,37
W0249,FOOD,-97,35
W0250,FOOD,-81,32
W0251,FOOD,-98,38
W0252,FOOD,-94,38
W0253,FOOD,-100,35
W0254,FOOD,-94,36
W0255,FOOD,-94,40
W0256,FOOD,-81,40
W0257,FOOD,-89,38
W0258,FOOD,-84,32
W0259,FOOD,-85,38
W0260,FOOD,-83,37
W0261,FOOD,-93,38
W0262,FOOD,-92,31
W0263,FOOD,-96,33
W0264,FOOD,-94,34
W0265,FOOD,-79,35
W0266,FOOD,-85,33
W0267,FOOD,-90,34
W0268,FOOD,-89,37
W0269,FOOD,-94,38
W0270,FOOD,-91,33
W0271,FOOD,-83,40
W0272,FOOD,-86,40
W0273,FOOD,-95,40
W0274,FOOD,-95,40
W0275,FOOD,-99,34
W0276,FOOD,-100,37
W0277,FOOD,-89,31
W0278,FOOD,-86,39
W0279,FOOD,-79,37
W0280,FOOD,-89,31
W0281,FOOD,-96,40
W0282,FOOD,-99,40
W0283,FOOD,-84,35
W0284,FOOD,-90,32
W0285,FOOD,-82,34
W0286,FOOD,-82,33
W0287,FOOD,-83,34
W0288,FOOD,-94,36
W0289,FOOD,-99,35
W0290,FOOD,-98,34
W0291,FOOD,-95,32
W0292,FOOD,-88,33
W0293,FOOD,-82,37
W0294,FOOD,-89,32
W0295,FOOD,-96,40
W0296,FOOD,-101,31
W0297,FOOD,-98,35
W0298,FOOD,-94,40
W0299,FOOD,-102,33
W0300,FOOD,-85,34
W0301,FOOD,-83,33
W0302,FOOD,-83,34
W0303,FOOD,-88,39
W0304,FOOD,-98,32
W0305,FOOD,-102,31
W0306,FOOD,-81,31
W0307,FOOD,-86,35
W0308,FOOD,-84,38
W0309,FOOD,-85,35
W0310,FOOD,-101,31
W0311,FOOD,-97,34
W0312,FOOD,-97,36
W0313,FOOD,-96,31
W0314,FOOD,-88,35
W0315,FOOD,-87,33
W0316,FOOD,-93,33
W0317,FOOD,-85,33
W0318,FOOD,-79,32
W0319,FOOD,-95,33
W0320,FOOD,-90,37
W0321,FOOD,-88,36
W0322,FOOD,-98,32
W0323,FOOD,-102,33
W0324,FOOD,-96,35
W0325,FOOD,-90,32
W0326,FOOD,-96,35
W0327,FOOD,-90,39
W0328,FOOD,-87,40
W0329,FOOD,-82,33
W0330,FOOD,-94,37
W0331,FOOD,-96,33
W0332,FOOD,-85,37
W0333,FOOD,-93,32
W0334,FOOD,-88,34
W0335,FOOD,-80,33
W0336,FOOD,-96,40
W0337,FOOD,-88,37
W0338,FOOD,-87,40
W0339,FOOD,-95,34
W0340,FOOD,-93,32
W0341,FOOD,-94,33
W0342,FOOD,-92,32
W0343,FOOD,-82,34
W0344,FOOD,-91,36
W0345,FOOD,-93,34
W0346,FOOD,-97,40
W0347,FOOD,-102,32
W0348,FOOD,-101,38
W0349,FOOD,-89,35
W0350,FOOD,-90,31
W0351,FOOD,-94,40
W0352,FOOD,-90,39
W0353,FOOD,-102,31
W0354,FOOD,-96,40
W0355,FOOD,-82,32
W0356,FOOD,-93,37
W0357,FOOD,-92,37
W0358,FOOD,-80,36
W0359,FOOD,-97,31
W0360,FOOD,-90,38
W0361,FOOD,-92,37
W0362,FOOD,-85,34
W0363,FOOD,-84,39
W0364,FOOD,-88,36
W0365,FOOD,-92,35
W0366,FOOD,-101,33
W0367,FOOD,-96,33
W0368,FOOD,-89,36
W0369,FOOD,-97,32
W0370,FOOD,-87,37
W0371,FOOD,-100,40
W0372,FOOD,-85,38
W0373,FOOD,-94,32
W0374,FOOD,-102,33
W0375,FOOD,-101,33
W0376,FOOD,-91,38
W0377,FOOD,-86,35
W0378,FOOD,-82,39
W0379,FOOD,-102,37
W0380,FOOD,-95,34
W0381,FOOD,-100,33
W0382,FOOD,-98,39
W0383,FOOD,-90,38
W0384,FOOD,-100,35
W0385,FOOD,-94,34
W0386,FOOD,-96,39
W0387,FOOD,-98,33
W0388,FOOD,-81,36
W0389,FOOD,-101,36
W0390,FOOD,-83,37
W0391,FOOD,-85,40
W0392,FOOD,-82,38
W0393,FOOD,-100,39
W0394,FOOD,-87,33
W0395,FOOD,-86,38
W0396,FOOD,-101,40
W0397,FOOD,-96,35
W0398,FOOD,-87,36
W0399,FOOD,-102,32
W0400,FOOD,-96,31
W0401,FOOD,-84,38
W0402,FOOD,-97,31
W0403,FOOD,-88,39
W0404,FOOD,-82,37
W0405,FOOD,-88,38
W0406,FOOD,-93,37
W0407,FOOD,-94,33
W0408,FOOD,-79,35
W0409,FOOD,-83,39
W0410,FOOD,-93,34
W0411,FOOD,-82,33
W0412,FOOD,-90,33
W0413,FOOD,-88,40
W0414,FOOD,-84,40
W0415,FOOD,-84,38
W0416,FOOD,-83,33
W0417,FOOD,-81,38
W0418,FOOD,-86,39
W0419,FOOD,-91,35
W0420,FOOD,-97,37
W0421,FOOD,-86,36
W0422,FOOD,-97,36
W0423,FOOD,-88,32
W0424,FOOD,-83,34
W0425,FOOD,-92,39
W0426,FOOD,-96,31
W0427,FOOD,-83,35
W0428,FOOD,-97,36
W0429,FOOD,-82,39
W0430,FOOD,-97,33
W0431,FOOD,-93,40
W0432,FOOD,-87,35
W0433,FOOD,-101,36
W0434,FOOD,-83,35
W0435,FOOD,-96,40
W0436,FOOD,-88,36
W0437,FOOD,-96,31
W0438,FOOD,-98,37
W0439,FOOD,-96,34
W0440,FOOD,-94,32
W0441,FOOD,-86,34
W0442,FOOD,-89,36
W0443,FOOD,-102,39
W0444,FOOD,-83,35
W0445,FOOD,-91,32
W0446,FOOD,-101,32
W0447,FOOD,-95,38
W0448,FOOD,-87,36
W0449,FOOD,-99,32
W0450,FOOD,-97,39
W0451,FOOD,-97,33
W0452,FOOD,-99,37
W0453,FOOD,-85,33
W0454,FOOD,-95,40
W0455,FOOD,-95,39
W0456,FOOD,-94,39
W0457,FOOD,-96,40
W0458,FOOD,-83,40
W0459,FOOD,-93,38
W0460,FOOD,-96,34
W0461,FOOD,-81,33
W0462,FOOD,-79,37
W0463,FOOD,-95,40
W0464,FOOD,-87,32
W0465,FOOD,-81,33
W0466,FOOD,-85,31
W0467,FOOD,-98,33
W0468,FOOD,-88,31
W0469,FOOD,-84,36
W0470,FOOD,-90,34
W0471,FOOD,-99,31
W0472,FOOD,-84,31
W0473,FOOD,-80,40
W0474,FOOD,-92,35
W0475,FOOD,-89,37
W0476,FOOD,-96,36
W0477,FOOD,-92,40
W0478,FOOD,-100,36
W0479,FOOD,-97,35
W0480,FOOD,-90,35
W0481,FOOD,-91,35
W0482,FOOD,-98,39
W0483,FOOD,-85,33
W0484,FOOD,-93,35
W0485,FOOD,-98,33
W0486,FOOD,-88,38
W0487,FOOD,-83,40
W0488,FOOD,-86,35
W0489,FOOD,-83,38
W0490,FOOD,-80,31
W0491,FOOD,-87,38
W0492,FOOD,-97,34
W0493,FOOD,-99,32
W0494,FOOD,-91,38
W0495,FOOD,-97,31
W0496,FOOD,-96,36
W0497,FOOD,-88,34
W0498,FOOD,-93,33
W0499,FOOD,-95,32
W0500,FOOD,-94,33
W0501,FOOD,-87,38
W0502,FOOD,-98,36
W0503,FOOD,-82,31
W0504,FOOD,-93,35
W0505,FOOD,-102,39
W0506,FOOD,-97,36
W0507,FOOD,-95,37
W0508,FOOD,-85,40
W0509,FOOD,-92,32
W0510,FOOD,-99,39
W0511,FOOD,-86,34
W0512,FOOD,-79,37
W0513,FOOD,-88,36
W0514,FOOD,-86,36
W0515,FOOD,-94,37
W0516,FOOD,-82,32
W0517,FOOD,-92,39
W0518,FOOD,-85,32
W0519,FOOD,-97,33
W0520,FOOD,-80,33
W0521,FOOD,-101,35
W0522,FOOD,-95,34
W0523,FOOD,-91,31
W0524,FOOD,-84,35
W0525,FOOD,-90,36
W0526,FOOD,-81,35
W0527,FOOD,-98,33
W0528,FOOD,-82,39
W0529,FOOD,-92,36
W0530,FOOD,-81,31
W0531,FOOD,-90,40
W0532,FOOD,-97,39
W0533,FOOD,-94,36
W0534,FOOD,-79,37
W0535,FOOD,-100,35
W0536,FOOD,-82,31
W0537,FOOD,-95,33
W0538,FOOD,-97,39
W0539,FOOD,-99,39
W0540,FOOD,-88,40
W0541,FOOD,-86,33
W0542,FOOD,-101,40
W0543,FOOD,-98,33
W0544,FOOD,-85,37
W0545,FOOD,-81,32
W0546,FOOD,-84,32
W0547,FOOD,-94,40
W0548,FOOD,-86,37
W0549,FOOD,-98,39
W0550,FOOD,-94,38
W0551,FOOD,-96,38
W0552,FOOD,-93,39
W0553,FOOD,-94,37
W0554,FOOD,-97,39
W0555,FOOD,-82,35
W0556,FOOD,-84,40
W0557,FOOD,-90,36
W0558,FOOD,-90,37
W0559,FOOD,-85,35
W0560,FOOD,-97,31
W0561,FOOD,-102,36
W0562,FOOD,-92,36
W0563,FOOD,-86,32
W0564,FOOD,-99,38
W0565,FOOD,-87,34
W0566,FOOD,-102,38
W0567,FOOD,-99,39
W0568,FOOD,-85,40
W0569,FOOD,-84,37
W0570,FOOD,-84,31
W0571,FOOD,-93,37
W0572,FOOD,-99,39
W0573,FOOD,-81,38
W0574,FOOD,-98,37
W0575,FOOD,-102,39
W0576,FOOD,-83,39
W0577,FOOD,-83,40
W0578,FOOD,-98,31
W0579,FOOD,-79,39
W0580,FOOD,-86,33
W0581,FOOD,-81,40
W0582,FOOD,-88,32
W0583,FOOD,-83,35
W0584,FOOD,-87,34
W0585,FOOD,-79,32
W0586,FOOD,-96,38
W0587,FOOD,-79,33
W0588,FOOD,-84,38
W0589,FOOD,-91,38
W0590,FOOD,-83,33
W0591,FOOD,-80,40
W0592,FOOD,-89,34
W0593,FOOD,-87,39
W0594,FOOD,-99,39
W0595,FOOD,-94,40
W0596,FOOD,-95,37
W0597,FOOD,-86,31
W0598,FOOD,-88,39
W0599,FOOD,-84,38
W0600,FOOD,-98,31
W0601,FOOD,-90,31
W0602,FOOD,-80,36
W0603,FOOD,-94,40
W0604,FOOD,-101,39
W0605,FOOD,-91,34
W0606,FOOD,-84,31
W0607,FOOD,-98,31
W0608,FOOD,-80,33
W0609,FOOD,-86,35
W0610,FOOD,-101,36
W0611,FOOD,-83,38
W0612,FOOD,-92,38
W0613,FOOD,-92,40
W0614,FOOD,-82,32
W0615,FOOD,-98,40
W0616,FOOD,-101,35
W0617,FOOD,-91,35
W0618,FOOD,-85,31
W0619,FOOD,-79,38
W0620,FOOD,-83,31
W0621,FOOD,-101,36
W0622,FOOD,-85,37
W0623,FOOD,-83,40
W0624,FOOD,-85,34
W0625,FOOD,-100,36
W0626,FOOD,-96,35
W0627,FOOD,-79,32
W0628,FOOD,-92,40
W0629,FOOD,-82,39
W0630,FOOD,-82,35
W0631,FOOD,-101,35
W0632,FOOD,-84,31
W0633,FOOD,-79,36
W0634,FOOD,-92,39
W0635,FOOD,-94,40
W0636,FOOD,-92,33
W0637,FOOD,-86,35
W0638,FOOD,-96,35
W0639,FOOD,-84,37
W0640,FOOD,-87,38
W0641,FOOD,-88,40
W0642,FOOD,-81,31
W0643,FOOD,-86,38
W0644,FOOD,-82,37
W0645,FOOD,-86,39
W0646,FOOD,-90,37
W0647,FOOD,-84,34
W0648,FOOD,-97,33
W0649,FOOD,-89,32
W0650,FOOD,-100,36
W0651,FOOD,-79,37
W0652,FOOD,-83,40
W0653,FOOD,-84,32
W0654,FOOD,-99,40
W0655,FOOD,-85,37
W0656,FOOD,-97,38
W0657,FOOD,-80,33
W0658,FOOD,-90,34
W0659,FOOD,-102,36
W0660,FOOD,-86,35
W0661,FOOD,-97,40
W0662,FOOD,-90,39
W0663,FOOD,-102,39
W0664,FOOD,-94,39
W0665,FOOD,-86,37
W0666,FOOD,-100,39
W0667,FOOD,-91,40
W0668,FOOD,-96,33
W0669,FOOD,-88,34
W0670,FOOD,-81,38
W0671,FOOD,-99,36
W0672,FOOD,-101,35
W0673,FOOD,-81,35
W0674,FOOD,-82,31
W0675,FOOD,-95,34
W0676,FOOD,-79,37
W0677,FOOD,-90,38
W0678,FOOD,-87,31
W0679,FOOD,-89,33
W0680,FOOD,-95,36
W0681,FOOD,-83,37
W0682,FOOD,-92,38
W0683,FOOD,-92,31
W0684,FOOD,-92,35
W0685,FOOD,-83,38
W0686,FOOD,-92,32
W0687,FOOD,-87,31
W0688,FOOD,-87,36
W0689,FOOD,-101,33
W0690,FOOD,-98,37
W0691,FOOD,-82,38
W0692,FOOD,-99,34
W0693,FOOD,-101,31
W0694,FOOD,-81,33
W0695,FOOD,-95,35
W0696,FOOD,-93,38
W0697,FOOD,-86,34
W0698,FOOD,-102,40
W0699,FOOD,-92,39
W0700,FOOD,-86,36
W0701,FOOD,-94,39
W0702,FOOD,-84,36
W0703,FOOD,-93,31
W0704,FOOD,-100,40
W0705,FOOD,-96,31
W0706,FOOD,-83,40
W0707,FOOD,-93,38
W0708,FOOD,-99,39
W0709,FOOD,-94,35
W0710,FOOD,-100,33
W0711,FOOD,-99,34
W0712,FOOD,-91,39
W0713,FOOD,-94,34
W0714,FOOD,-101,40
W0715,FOOD,-86,40
W0716,FOOD,-82,40
W0717,FOOD,-79,40
W0718,FOOD,-98,32
W0719,FOOD,-92,31
W0720,FOOD,-100,33
W0721,FOOD,-93,40
W0722,FOOD,-80,34
W0723,FOOD,-90,38
W0724,FOOD,-90,33
W0725,FOOD,-79,35
W0726,FOOD,-86,31
W0727,FOOD,-98,38
W0728,FOOD,-98,34
W0729,FOOD,-86,39
W0730,FOOD,-90,33
W0731,FOOD,-102,40
W0732,FOOD,-102,40
W0733,FOOD,-80,39
W0734,FOOD,-102,39
W0735,FOOD,-81,37
W0736,FOOD,-81,31
W0737,FOOD,-94,35
W0738,FOOD,-99,36
W0739,FOOD,-92,31
W0740,FOOD,-88,34
W0741,FOOD,-100,36
W0742,FOOD,-90,37
W0743,FOOD,-98,40
W0744,FOOD,-95,34
W0745,FOOD,-81,33
W0746,FOOD,-93,35
W0747,FOOD,-91,37
W0748,FOOD,-98,35
W0749,FOOD,-99,37
W0750,FOOD,-92,36
W0751,FOOD,-92,40
W0752,FOOD,-79,37
W0753,FOOD,-102,32
W0754,FOOD,-79,31
W0755,FOOD,-80,33
W0756,FOOD,-94,34
W0757,FOOD,-86,37
W0758,FOOD,-83,38
W0759,FOOD,-91,31
W0760,FOOD,-91,40
W0761,FOOD,-96,32
W0762,FOOD,-85,33
W0763,FOOD,-83,35
W0764,FOOD,-90,32
W0765,FOOD,-97,34
W0766,FOOD,-102,35
W0767,FOOD,-86,36
W0768,FOOD,-102,32
W0769,FOOD,-93,40
W0770,FOOD,-82,36
W0771,FOOD,-84,40
W0772,FOOD,-96,33
W0773,FOOD,-96,32
W0774,FOOD,-87,32
W0775,FOOD,-97,32
W0776,FOOD,-102,40
W0777,FOOD,-102,34
W0778,FOOD,-81,37
W0779,FOOD,-87,32
W0780,FOOD,-91,37
W0781,FOOD,-90,37
W0782,FOOD,-81,36
W0783,FOOD,-85,40
W0784,FOOD,-99,32
W0785,FOOD,-90,40
W0786,FOOD,-99,40
W0787,FOOD,-81,36
W0788,FOOD,-82,37
W0789,FOOD,-99,35
W0790,FOOD,-83,40
W0791,FOOD,-84,32
W0792,FOOD,-97,31
W0793,FOOD,-89,36
W0794,FOOD,-90,32
W0795,FOOD,-90,33
W0796,FOOD,-99,33
W0797,FOOD,-79,35
W0798,FOOD,-82,37
W0799,FOOD,-93,39
W0800,FOOD,-95,35
W0801,FOOD,-97,34
W0802,FOOD,-84,36
W0803,FOOD,-94,40
W0804,FOOD,-90,32
W0805,FOOD,-90,33
W0806,FOOD,-98,38
W0807,FOOD,-84,37
W0808,FOOD,-90,35
W0809,FOOD,-102,37
W0810,FOOD,-79,35
W0811,FOOD,-79,40
W0812,FOOD,-99,35
W0813,FOOD,-99,35
W0814,FOOD,-90,34
W0815,FOOD,-80,35
W0816,FOOD,-88,37
W0817,FOOD,-89,32
W0818,FOOD,-97,38
W0819,FOOD,-85,38
W0820,FOOD,-93,37
W0821,FOOD,-101,31
W0822,FOOD,-82,36
W0823,FOOD,-101,33
W0824,FOOD,-98,40
W0825,FOOD,-89,34
W0826,FOOD,-98,40
W0827,FOOD,-92,39
W0828,FOOD,-97,38
W0829,FOOD,-100,33
W0830,FOOD,-79,34
W0831,FOOD,-94,39
W0832,FOOD,-98,37
W0833,FOOD,-87,34
W0834,FOOD,-102,40
W0835,FOOD,-96,31
W0836,FOOD,-83,37
W0837,FOOD,-86,38
W0838,FOOD,-82,33
W0839,FOOD,-97,40
W0840,FOOD,-96,36
W0841,FOOD,-93,36
W0842,FOOD,-84,37
W0843,FOOD,-80,36
W0844,FOOD,-102,34
W0845,FOOD,-102,32
W0846,FOOD,-86,36
W0847,FOOD,-89,32
W0848,FOOD,-98,38
W0849,FOOD,-101,40
W0850,FOOD,-83,38
W0851,FOOD,-87,36
W0852,FOOD,-84,36
W0853,FOOD,-86,33
W0854,FOOD,-101,39
W0855,FOOD,-96,40
W0856,FOOD,-91,32
W0857,FOOD,-79,31
W0858,FOOD,-87,37
W0859,FOOD,-89,38
W0860,FOOD,-83,33
W0861,FOOD,-84,37
W0862,FOOD,-87,37
W0863,FOOD,-85,37
W0864,FOOD,-90,38
W0865,FOOD,-89,38
W0866,FOOD,-93,38
W0867,FOOD,-102,36
W0868,FOOD,-86,37
W0869,FOOD,-97,37
W0870,FOOD,-90,35
W0871,FOOD,-84,34
W0872,FOOD,-90,33
W0873,FOOD,-97,33
W0874,FOOD,-94,32
W0875,FOOD,-96,36
W0876,FOOD,-102,38
W0877,FOOD,-91,31
W0878,FOOD,-90,34
W0879,FOOD,-90,40
W0880,FOOD,-97,33
W0881,FOOD,-101,36
W0882,FOOD,-80,38
W0883,FOOD,-89,33
W0884,FOOD,-86,36
W0885,FOOD,-81,39
W0886,FOOD,-94,37
W0887,FOOD,-89,31
W0888,FOOD,-97,34
W0889,FOOD,-90,33
W0890,FOOD,-80,34
W0891,FOOD,-95,40
W0892,FOOD,-90,31
W0893,FOOD,-91,37
W0894,FOOD,-85,32
W0895,FOOD,-97,31
W0896,FOOD,-85,31
W0897,FOOD,-102,34
W0898,FOOD,-92,39
W0899,FOOD,-91,35
W0900,FOOD,-80,38
W0901,FOOD,-94,34
W0902,FOOD,-88,40
W0903,FOOD,-92,34
W0904,FOOD,-101,37
W0905,FOOD,-101,31
W0906,FOOD,-81,37
W0907,FOOD,-82,37
W0908,FOOD,-83,38
W0909,FOOD,-90,32
W0910,FOOD,-94,36
W0911,FOOD,-79,32
W0912,FOOD,-83,33
W0913,FOOD,-98,38
W0914,FOOD,-98,33
W0915,FOOD,-91,33
W0916,FOOD,-90,40
W0917,FOOD,-98,38
W0918,FOOD,-101,31
W0919,FOOD,-90,34
W0920,FOOD,-96,33
W0921,FOOD,-102,35
W0922,FOOD,-96,37
W0923,FOOD,-79,38
W0924,FOOD,-79,32
W0925,FOOD,-82,31
W0926,FOOD,-87,40
W0927,FOOD,-84,33
W0928,FOOD,-94,38
W0929,FOOD,-89,33
W0930,FOOD,-84,34
W0931,FOOD,-79,35
W0932,FOOD,-92,31
W0933,FOOD,-80,40
W0934,FOOD,-102,33
W0935,FOOD,-90,31
W0936,FOOD,-80,34
W0937,FOOD,-82,36
W0938,FOOD,-79,33
W0939,FOOD,-91,36
W0940,FOOD,-83,38
W0941,FOOD,-84,32
W0942,FOOD,-88,36
W0943,FOOD,-90,38
W0944,FOOD,-99,38
W0945,FOOD,-89,31
W0946,FOOD,-96,37
W0947,FOOD,-87,35
W0948,FOOD,-88,33
W0949,FOOD,-79,40
W0950,FOOD,-89,39
W0951,FOOD,-100,31
W0952,FOOD,-93,33
W0953,FOOD,-87,38
W0954,FOOD,-95,31
W0955,FOOD,-98,33
W0956,FOOD,-89,37
W0957,FOOD,-89,34
W0958,FOOD,-93,39
W0959,FOOD,-100,36
W0960,FOOD,-83,33
W0961,FOOD,-99,39
W0962,FOOD,-85,40
W0963,FOOD,-86,37
W0964,FOOD,-80,34
W0965,FOOD,-101,31
W0966,FOOD,-86,36
W0967,FOOD,-81,38
W0968,FOOD,-90,35
W0969,FOOD,-88,40
W0970,FOOD,-93,40
W0971,FOOD,-98,32
W0972,FOOD,-91,34
W0973,FOOD,-97,33
W0974,FOOD,-86,35
W0975,FOOD,-82,31
W0976,FOOD,-94,35
W0977,FOOD,-98,40
W0978,FOOD,-96,33
W0979,FOOD,-93,38
W0980,FOOD,-81,33
W0981,FOOD,-100,31
W0982,FOOD,-95,33
W0983,FOOD,-101,32
W0984,FOOD,-89,37
W0985,FOOD,-91,38
W0986,FOOD,-93,35
W0987,FOOD,-81,38
W0988,FOOD,-89,38
W0989,FOOD,-100,36
W0990,FOOD,-82,34
W0991,FOOD,-96,32
W0992,FOOD,-89,37
W0993,FOOD,-101,37
W0994,FOOD,-101,33
W0995,FOOD,-86,40
W0996,FOOD,-85,39
W0997,FOOD,-102,38
W0998,FOOD,-95,36
W0999,FOOD,-86,40
W1000,FOOD,-97,34
W1001,FOOD,-92,38
W1002,FOOD,-100,35
W1003,FOOD,-93,34
W1004,FOOD,-80,35
W1005,FOOD,-92,32
W1006,FOOD,-93,34
W1007,FOOD,-86,35
W1008,FOOD,-85,33
W1009,FOOD,-96,40
W1010,FOOD,-89,37
W1011,FOOD,-94,34
